round,pick,org,slot,division,slug,name,country,rating,is_champ
,,iwb,C,heavyweight,brock-lesnar,Brock Lesnar,ca,1566,TRUE
,,wwo,C,heavyweight,ibrahima-diop,Ibrahima Diop,sn,1553,TRUE
,,wwf,C,heavyweight,the-rock,The Rock,us,1673,TRUE
,,wwo,C,bridgerweight,cm-punk,CM Punk,us,1521,TRUE
,,iwb,C,bridgerweight,kazuchika-okada,Kazuchika Okada,jp,1530,TRUE
,,wwf,C,bridgerweight,kenny-omega,Kenny Omega,ca,1624,TRUE
,,iwb,C,middleweight,bryan-danielson,Bryan Danielson,us,1553,TRUE
,,wwf,C,middleweight,el-nieto-del-santo,El Nieto del Santo,mx,1666,TRUE
,,wwo,C,middleweight,el-nieto-del-santo,El Nieto del Santo,mx,1666,TRUE
,,wwf,C,welterweight,blue-demon-iii,Blue Demon III,mx,1527,TRUE
,,iwb,C,welterweight,dragon-lee,Dragon Lee,mx,1624,TRUE
,,wwo,C,welterweight,mistico,Mistico,mx,1629,TRUE
,,wwf,C,lightweight,bianca-belair,Bianca Belair,us,1574,TRUE
,,iwb,C,lightweight,futura,Futura,mx,1557,TRUE
,,wwo,C,lightweight,toni-storm,Toni Storm,au,1528,TRUE
,,iwb,C,featherweight,iyo-sky,Iyo Sky,jp,1615,TRUE
,,wwf,C,featherweight,sareee,Sareee,jp,1539,TRUE
,,wwo,C,featherweight,stephanie-vaquer,Stephanie Vaquer,cl,1622,TRUE
1,1,wwf,1,lightweight,lepis-24k,Lepis 24K,mx,1590,FALSE
1,2,wwo,1,welterweight,tyler-bate,Tyler Bate,gb,1565,FALSE
1,3,iwb,1,heavyweight,jon-moxley,Jon Moxley,us,1539,FALSE
2,4,iwb,1,middleweight,jj-muñoz,JJ Muñoz,mx,1578,FALSE
2,5,wwo,1,middleweight,hiroshi-tanahashi,Hiroshi Tanahashi,jp,1551,FALSE
2,6,wwf,1,heavyweight,undertaker,Undertaker,us,1575,FALSE
3,7,wwf,2,bridgerweight,aj-styles,AJ Styles,us,1539,FALSE
3,8,wwo,1,lightweight,charlotte-flair,Charlotte Flair,us,1562,FALSE
3,9,iwb,2,middleweight,atlantis-iii,Atlantis III,mx,1519,FALSE
4,10,iwb,1,bridgerweight,angel-blanco-iv,Angel Blanco IV,pa,1522,FALSE
4,11,wwo,1,bridgerweight,will-ospreay,Will Ospreay,gb,1511,FALSE
4,12,wwf,1,bridgerweight,montez-ford,Montez Ford,us,1557,FALSE
5,13,wwf,1,middleweight,blue-panther-iv,Blue Panther IV,mx,1510,FALSE
5,14,wwo,1,featherweight,alexa-bliss,Alexa Bliss,us,1521,FALSE
5,15,iwb,1,welterweight,bandido,Bandido,mx,1509,FALSE
